summoner,region,rank,tier,lp,most_champion_1,most_champion_2,most_champion_3,level,win,loss,winrate
민철이여친구함 #0415,kr,1,Challenger,"2,286 LP",Sylas,Hwei,Yone,622,292,185,61%
칼과 창 방패 #KR1,kr,2,Challenger,"1,742 LP",Warwick,Poppy,Renekton,819,206,130,61%
Morgan #5358,kr,3,Challenger,"1,645 LP",K'Sante,Jax,Gnar,586,200,130,61%
Karis #KR4,kr,4,Challenger,"1,580 LP",Yone,Orianna,Tristana,752,192,132,59%
DANDAN心魅かれてく #solo,kr,5,Challenger,"1,536 LP",Ambessa,Jax,Rumble,64,206,119,63%
Happy #day12,kr,6,Challenger,"1,534 LP",Rell,Poppy,Bard,665,342,273,56%
FATE #KR2,kr,7,Challenger,"1,533 LP",Yone,Sylas,Orianna,539,232,177,57%
Ivory #1012,kr,8,Challenger,"1,531 LP",Yone,Aurora,Viego,292,438,387,53%
DRX kyeahoo #0813,kr,9,Challenger,"1,530 LP",Yone,Sylas,Ezreal,668,366,298,55%
Bloodborne #PRO,kr,10,Challenger,"1,529 LP",Jayce,Yone,Taliyah,87,277,218,56%
참새크면비둘기 #KR1,kr,11,Challenger,"1,528 LP",Poppy,Leona,Alistar,633,157,81,66%
M G #2821,kr,12,Challenger,"1,527 LP",Sylas,Taliyah,Swain,871,351,290,55%
Yondaime #Luo,kr,13,Challenger,"1,523 LP",Tristana,Yone,Akali,374,255,187,58%
xiaofang #qaq,kr,14,Challenger,"1,514 LP",Viego,Zyra,Graves,83,291,227,56%
heisemaoyi #meet,kr,15,Challenger,"1,473 LP",Zyra,Graves,Skarner,342,270,202,57%
저승민 #이승민,kr,16,Challenger,"1,428 LP",Gnar,Jax,Gragas,632,190,127,60%
클래식좀들어라 #KR2,kr,17,Challenger,"1,401 LP",Nidalee,Lillia,Lee Sin,556,211,148,59%
C9 Berserker #KR1,kr,18,Challenger,"1,391 LP",Jhin,Tristana,Caitlyn,490,238,174,58%
zyp hanfu14 #zypp,kr,19,Challenger,"1,382 LP",Graves,Viego,Zyra,80,209,145,59%
Raptor #KR123,kr,20,Challenger,"1,380 LP",Lee Sin,Kindred,Skarner,758,236,174,58%
카 엘 #0211,kr,21,Challenger,"1,379 LP",Poppy,Jhin,Alistar,575,188,129,59%
Cloud #KR07,kr,22,Challenger,"1,375 LP",Rell,Poppy,Nautilus,446,311,253,55%
lulu #yaha,kr,23,Challenger,"1,362 LP",Pyke,Varus,Jhin,64,181,94,66%
Sylvie #77777,kr,24,Challenger,"1,360 LP",Viego,Lee Sin,Graves,674,209,155,57%
Swamp #KR3,kr,25,Challenger,"1,353 LP",Viego,Lillia,Elise,85,201,144,58%
Vanana #0110,kr,26,Challenger,"1,343 LP",Gnar,K'Sante,Jax,183,391,331,54%
DK Lucid #KR1,kr,27,Challenger,"1,343 LP",Skarner,Viego,Kindred,638,160,98,62%
FOX Career #0829,kr,28,Challenger,"1,321 LP",Poppy,Pyke,Lee Sin,246,362,310,54%
민 재 #555,kr,29,Challenger,"1,318 LP",Viego,Nidalee,Lee Sin,370,424,377,53%
革命前夜 #eill,kr,30,Challenger,"1,284 LP",Zyra,Skarner,Dr. Mundo,677,274,222,55%
Samver #7777,kr,31,Challenger,"1,280 LP",Jhin,Corki,Kai'Sa,512,292,240,55%
KT Sonstar #KR111,kr,32,Challenger,"1,279 LP",Sylas,Aurora,Yone,710,192,130,60%
개 천 #KR1,kr,33,Challenger,"1,278 LP",Zac,Gnar,Mordekaiser,513,173,123,58%
Rich #KR12,kr,34,Challenger,"1,278 LP",Ambessa,Aurora,K'Sante,701,210,152,58%
편식당 #kr72,kr,35,Challenger,"1,277 LP",Corki,Ezreal,Ashe,812,404,349,54%
HLE #3291,kr,36,Challenger,"1,270 LP",Aurora,Yone,Sylas,163,241,185,57%
C9 Loki #kr2,kr,37,Challenger,"1,268 LP",Yone,Sylas,Azir,985,303,247,55%
Bae Suzy #KR1,kr,38,Challenger,"1,263 LP",Pyke,Sylas,Rell,351,151,88,63%
Vincenzo #kr40,kr,39,Challenger,"1,256 LP",Viego,Lee Sin,Graves,593,274,211,56%
DRX kyeahoo #0630,kr,40,Challenger,"1,238 LP",Gnar,Jax,Ambessa,385,238,183,57%
sdsagfhjfdx #666,kr,41,Challenger,"1,219 LP",Kai'Sa,Caitlyn,Jhin,611,377,320,54%
