summoner,region,rank,tier,lp,most_champion_1,most_champion_2,most_champion_3,level,win,loss,winrate
NS Carim #KR1,kr,234,Challenger,958.0,Viego,Skarner,Graves,556,281,244,0.54
FA JemDDing #0208,kr,235,Challenger,958.0,Alistar,Rakan,Poppy,572,263,228,0.54
LEGENO PANTS #KR0,kr,236,Challenger,957.0,Corki,Ashe,Caitlyn,473,250,195,0.56
공포의 매생이 #KR1,kr,237,Challenger,957.0,Miss Fortune,Lucian,Gragas,258,171,124,0.58
불청객2 #KR1,kr,238,Challenger,956.0,Kindred,Lee Sin,Skarner,200,135,94,0.59
따개비루 #Toye,kr,239,Challenger,956.0,Skarner,Viego,Zyra,670,337,296,0.53
아이스팀 MID #팔로우,kr,240,Challenger,955.0,Yasuo,Yone,Qiyana,231,306,264,0.54
승늉승늉 #안뇽해,kr,241,Challenger,953.0,Dr. Mundo,K'Sante,Blitzcrank,83,158,116,0.58
変わらないもの #1003,kr,242,Challenger,951.0,Corki,Ezreal,Jinx,99,126,74,0.63
YONG2 #6666,kr,243,Challenger,951.0,Skarner,Graves,Viego,290,141,92,0.61
FA Midir #2006,kr,244,Challenger,951.0,K'Sante,Aurora,Renekton,547,380,337,0.53
성 훈 #1231,kr,245,Challenger,951.0,Poppy,Pyke,Bard,338,137,87,0.61
폐 허 #KR1,kr,246,Challenger,950.0,Pyke,Leona,Alistar,453,255,213,0.54
채팅치면원숭이 #KRmk,kr,247,Challenger,948.0,Leona,Braum,Karma,911,238,189,0.56
PdSmB1 #KR3,kr,248,Challenger,945.0,Ashe,Kai'Sa,Jinx,168,213,170,0.56
DK Sharvel #KR1,kr,249,Challenger,945.0,Graves,Kindred,Viego,812,355,310,0.53
yangzhiganlu #666,kr,250,Challenger,942.0,Kayn,Shen,Gragas,103,197,154,0.56
청포도육포 #KR1,kr,251,Challenger,942.0,Viego,Lee Sin,Zyra,319,133,87,0.6
OMG Moham #OMG,kr,252,Challenger,941.0,Pyke,Rell,Renata Glasc,371,157,106,0.6
chengzhitop #4433,kr,253,Challenger,940.0,Riven,Jax,Renekton,240,495,456,0.52
붐칙칵칙 #KR1,kr,254,Challenger,939.0,Sylas,Aurora,Hwei,1093,371,324,0.53
2009 05 01 #0501,kr,255,Challenger,938.0,Neeko,Orianna,Hwei,167,256,209,0.55
