rank,champion,tier,role,win_rate,pick_rate,ban_rate,counter1,counter2,counter3
1,Irelia,1,top,0.5186,0.057800000000000004,0.09210000000000002,Warwick,Volibear,Zac
2,Maokai,1,top,0.5161,0.061900000000000004,0.0322,Heimerdinger,Olaf,Mordekaiser
3,Warwick,1,top,0.5252,0.031200000000000002,0.0851,Teemo,Cassiopeia,Heimerdinger
4,Aatrox,1,top,0.5025999999999999,0.08539999999999999,0.10220000000000001,Cassiopeia,Irelia,Warwick
5,Riven,1,top,0.514,0.052300000000000006,0.0269,Quinn,Urgot,Maokai
6,Gragas,1,top,0.5123,0.0493,0.023,Cho'Gath,Maokai,Warwick
7,Darius,1,top,0.5053,0.0623,0.133,Cassiopeia,Teemo,Wukong
8,Malphite,1,top,0.5135000000000001,0.0441,0.061900000000000004,Maokai,Dr. Mundo,Ornn
9,Volibear,1,top,0.5092,0.0492,0.0336,Quinn,Teemo,Kennen
10,Cho'Gath,2,top,0.5196000000000001,0.0278,0.0043,Olaf,Ornn,Illaoi
11,Mordekaiser,2,top,0.5062,0.048,0.057300000000000004,Cassiopeia,Heimerdinger,Riven
12,Ornn,2,top,0.5119,0.0387,0.0055000000000000005,Warwick,Tryndamere,Kayle
13,Camille,2,top,0.5106,0.0404,0.0189,Zac,Ryze,Teemo
14,Tahm Kench,2,top,0.5112,0.0332,0.0404,Wukong,Heimerdinger,Singed
15,Renekton,2,top,0.5001,0.059000000000000004,0.048799999999999996,Cassiopeia,Teemo,Warwick
16,Teemo,2,top,0.5155,0.0254,0.0331,Ryze,Olaf,Cassiopeia
17,Dr. Mundo,2,top,0.5074000000000001,0.037000000000000005,0.0194,Riven,Udyr,Aatrox
18,Sett,2,top,0.503,0.0443,0.0088,Zac,Warwick,Volibear
19,Shen,2,top,0.5097999999999999,0.030899999999999997,0.0038,Cassiopeia,Tryndamere,Teemo
20,Fiora,2,top,0.5045000000000001,0.0365,0.0582,Quinn,Ryze,Warwick
21,K'Sante,2,top,0.4888,0.0707,0.0767,Singed,Kayle,Kennen
22,Gnar,2,top,0.499,0.045899999999999996,0.0195,Quinn,Teemo,Vladimir
23,Kayle,2,top,0.515,0.0216,0.0064,Cassiopeia,Malphite,Viktor
24,Ambessa,2,top,0.4861,0.0557,0.304,Warwick,Camille,Wukong
25,Poppy,3,top,0.5149,0.018000000000000002,0.028300000000000002,Cassiopeia,Warwick,Olaf
26,Gwen,3,top,0.5063,0.0286,0.0242,Warwick,Singed,Riven
27,Viktor,3,top,0.4988,0.0184,0.0353,Tryndamere,Zac,Irelia
28,Urgot,3,top,0.5114,0.0216,0.0034999999999999996,Cassiopeia,Kayle,Aurora
29,Trundle,3,top,0.5146000000000001,0.0184,0.0042,Heimerdinger,Zac,Urgot
30,Vladimir,3,top,0.5092,0.0223,0.018000000000000002,Nasus,Quinn,Trundle
31,Garen,3,top,0.4946,0.0437,0.0212,Camille,Maokai,Tryndamere
32,Sion,3,top,0.4982,0.0374,0.0046,Riven,Dr. Mundo,Gwen
33,Singed,3,top,0.5144,0.0176,0.0025,Trundle,Vayne,Ryze
34,Jax,3,top,0.489,0.0504,0.07200000000000001,Cassiopeia,Dr. Mundo,Singed
35,Olaf,3,top,0.5166,0.0152,0.009399999999999999,Vayne,Fiora,Kayle
36,Tryndamere,3,top,0.5061,0.0231,0.0134,Warwick,Volibear,Quinn
37,Cassiopeia,3,top,0.5283,0.0076,0.0046,Quinn,Kled,Garen
38,Yorick,3,top,0.5007,0.0256,0.026000000000000002,Warwick,Tryndamere,Kayle
39,Kennen,3,top,0.5122,0.0154,0.0088,Udyr,Galio,Dr. Mundo
40,Zac,3,top,0.5169,0.011699999999999999,0.006999999999999999,Heimerdinger,Galio,Vladimir
41,Nasus,3,top,0.4988,0.0271,0.0321,Ryze,Heimerdinger,Zac
42,Gangplank,3,top,0.49520000000000003,0.0321,0.011899999999999999,Zac,Kled,Quinn
43,Jayce,3,top,0.48310000000000003,0.0519,0.0159,Quinn,Tahm Kench,Irelia
44,Ryze,3,top,0.5168,0.0108,0.0013,Zac,Irelia,Pantheon
45,Pantheon,3,top,0.5019,0.0207,0.0048,Heimerdinger,Singed,Maokai
46,Wukong,3,top,0.5131,0.0118,0.0048,Singed,Cassiopeia,Maokai
47,Yone,3,top,0.47609999999999997,0.0555,0.0433,Irelia,Riven,Wukong
48,Kled,3,top,0.5083,0.014199999999999999,0.005,Camille,Udyr,Akali
49,Illaoi,4,top,0.4943,0.0235,0.0509,Heimerdinger,Kayle,Ryze
50,Aurora,4,top,0.4932,0.0194,0.0418,Irelia,Quinn,Singed
51,Yasuo,4,top,0.485,0.0239,0.0387,Singed,Cassiopeia,Riven
52,Heimerdinger,4,top,0.511,0.009300000000000001,0.0043,Galio,Ryze,Cassiopeia
53,Quinn,4,top,0.5118,0.0075,0.0024,Singed,Olaf,Malphite
54,Akali,4,top,0.4916,0.015700000000000002,0.019299999999999998,Galio,Gangplank,Shen
55,Sylas,4,top,0.48710000000000003,0.016,0.015300000000000001,Urgot,Poppy,Kled
1,Warwick,1,jungle,0.5164,0.0574,0.15689999999999998,Karthus,Nunu & Willump,Ivern
2,Wukong,1,jungle,0.5139,0.0643,0.0262,Karthus,Zyra,Taliyah
3,Nocturne,1,jungle,0.5132,0.0575,0.0784,Gwen,Dr. Mundo,Wukong
4,Viego,1,jungle,0.5001,0.16899999999999998,0.1316,Rammus,Elise,Bel'Veth
5,Kayn,1,jungle,0.5095000000000001,0.07339999999999999,0.050499999999999996,Kindred,Fiddlesticks,Wukong
6,Graves,1,jungle,0.5015999999999999,0.13699999999999998,0.19440000000000002,Gwen,Bel'Veth,Fiddlesticks
7,Kha'Zix,1,jungle,0.509,0.0731,0.0632,Zyra,Shaco,Fiddlesticks
8,Shaco,1,jungle,0.5126,0.0464,0.1285,Graves,Karthus,Briar
9,Nunu & Willump,1,jungle,0.5151,0.0334,0.0068000000000000005,Poppy,Qiyana,Bel'Veth
10,Lee Sin,1,jungle,0.4964,0.1705,0.1133,Warwick,Taliyah,Shaco
11,Ekko,1,jungle,0.509,0.055099999999999996,0.0102,Ivern,Dr. Mundo,Rengar
12,Elise,2,jungle,0.5059,0.048600000000000004,0.0556,Nocturne,Shaco,Rammus
13,Bel'Veth,2,jungle,0.5125,0.0258,0.0435,Sejuani,Ivern,Pantheon
14,Jarvan IV,2,jungle,0.5043,0.0554,0.014199999999999999,Jax,Gwen,Karthus
15,Skarner,2,jungle,0.5059,0.0393,0.0883,Lillia,Gwen,Udyr
16,Hecarim,2,jungle,0.5043,0.0464,0.032400000000000005,Ivern,Warwick,Udyr
17,Fiddlesticks,2,jungle,0.5108,0.024399999999999998,0.0138,Rammus,Nunu & Willump,Jarvan IV
18,Xin Zhao,2,jungle,0.5065999999999999,0.035699999999999996,0.0052,Pantheon,Karthus,Gwen
19,Briar,2,jungle,0.5091,0.0256,0.0252,Pantheon,Teemo,Jax
20,Master Yi,2,jungle,0.5021,0.0458,0.071,Shaco,Elise,Wukong
21,Rek'Sai,2,jungle,0.5134000000000001,0.015700000000000002,0.0064,Dr. Mundo,Karthus,Udyr
22,Diana,2,jungle,0.5018,0.0462,0.0139,Dr. Mundo,Jax,Warwick
23,Karthus,2,jungle,0.5065,0.0282,0.058899999999999994,Shyvana,Ivern,Bel'Veth
24,Udyr,3,jungle,0.5075,0.0229,0.0241,Qiyana,Poppy,Kindred
25,Kindred,3,jungle,0.5012,0.0392,0.0291,Qiyana,Ivern,Rammus
26,Gwen,3,jungle,0.5132,0.011399999999999999,0.0097,Bel'Veth,Master Yi,Qiyana
27,Vi,3,jungle,0.4943,0.06480000000000001,0.0171,Fiddlesticks,Rek'Sai,Kha'Zix
28,Ivern,3,jungle,0.511,0.0131,0.0051,Nunu & Willump,Amumu,Taliyah
29,Talon,3,jungle,0.5052,0.0213,0.006500000000000001,Bel'Veth,Pantheon,Fiddlesticks
30,Rammus,3,jungle,0.5084000000000001,0.0139,0.0282,Pantheon,Dr. Mundo,Lillia
31,Volibear,3,jungle,0.5021,0.0197,0.013500000000000002,Jax,Ivern,Gwen
32,Amumu,3,jungle,0.49920000000000003,0.0273,0.0154,Zed,Pantheon,Karthus
33,Zyra,3,jungle,0.505,0.0149,0.0089,Gwen,Briar,Karthus
34,Taliyah,3,jungle,0.5043,0.016200000000000003,0.0045000000000000005,Zed,Qiyana,Dr. Mundo
35,Nidalee,3,jungle,0.4926,0.0449,0.0321,Rammus,Nocturne,Briar
36,Lillia,3,jungle,0.4959,0.0331,0.0327,Qiyana,Talon,Master Yi
37,Evelynn,3,jungle,0.4999,0.0217,0.032799999999999996,Taliyah,Briar,Teemo
38,Zac,3,jungle,0.4943,0.0346,0.0207,Ivern,Qiyana,Taliyah
39,Zed,3,jungle,0.5015999999999999,0.0141,0.0305,Master Yi,Dr. Mundo,Xin Zhao
40,Shyvana,3,jungle,0.5021,0.0147,0.0029,Nunu & Willump,Bel'Veth,Udyr
41,Rengar,3,jungle,0.4932,0.0318,0.0487,Rammus,Jax,Kindred
42,Qiyana,4,jungle,0.5052,0.0063,0.0015,Volibear,Pantheon,Fiddlesticks
43,Pantheon,4,jungle,0.5027,0.0072,0.0016,Dr. Mundo,Lillia,Rek'Sai
44,Gragas,4,jungle,0.4842,0.0287,0.0134,Taliyah,Nocturne,Skarner
45,Poppy,4,jungle,0.49579999999999996,0.0089,0.013999999999999999,Rammus,Pantheon,Shaco
46,Sejuani,4,jungle,0.48350000000000004,0.0248,0.0029,Qiyana,Udyr,Rek'Sai
47,Jax,4,jungle,0.49700000000000005,0.005699999999999999,0.008100000000000001,Taliyah,Amumu,Zyra
48,Dr. Mundo,4,jungle,0.4985,0.0051,0.0027,Qiyana,Ivern,Zac
49,Teemo,4,jungle,0.48829999999999996,0.011200000000000002,0.0146,Qiyana,Zyra,Gwen
50,Ambessa,5,jungle,0.4371,0.0098,0.0536,Rammus,Gwen,Kindred
1,Viktor,1,mid,0.5065,0.1883,0.3626,Akali,Ekko,Xerath
2,Vex,1,mid,0.5246,0.0334,0.0521,Taliyah,Cho'Gath,Annie
3,Ahri,1,mid,0.5085000000000001,0.09699999999999999,0.0421,Talon,Akshan,Qiyana
4,Sylas,2,mid,0.5004,0.1039,0.1,Taliyah,Garen,Vex
5,Galio,2,mid,0.5099,0.0525,0.0364,Garen,Swain,Lux
6,Irelia,2,mid,0.5121,0.0369,0.0593,Vex,Malphite,Cho'Gath
7,Anivia,2,mid,0.5207,0.021400000000000002,0.0146,Gragas,Garen,Neeko
8,Akali,2,mid,0.5033,0.0719,0.0889,Twisted Fate,Naafiri,Taliyah
9,Taliyah,2,mid,0.5209,0.0175,0.0049,Annie,Zed,Fizz
10,Katarina,2,mid,0.504,0.061500000000000006,0.0672,Kayle,Cho'Gath,Malphite
11,Lux,2,mid,0.5089,0.0391,0.0155,Naafiri,Aurelion Sol,Taliyah
12,Syndra,2,mid,0.502,0.0608,0.0381,Ekko,Aurelion Sol,Cho'Gath
13,Hwei,2,mid,0.5019,0.058499999999999996,0.055099999999999996,Malphite,Katarina,Akshan
14,Talon,2,mid,0.511,0.0285,0.0088,Malphite,Cho'Gath,Garen
15,Lissandra,2,mid,0.5097999999999999,0.031400000000000004,0.014499999999999999,Corki,Cho'Gath,Garen
16,Malzahar,2,mid,0.5075999999999999,0.0364,0.0356,Kayle,Malphite,Garen
17,Aurora,2,mid,0.5007,0.0518,0.11230000000000001,Vex,Gragas,Neeko
18,Vel'Koz,2,mid,0.5196999999999999,0.013300000000000001,0.0028000000000000004,Ziggs,Naafiri,Katarina
19,Qiyana,2,mid,0.5132,0.0219,0.0054,Vel'Koz,Garen,Neeko
20,Veigar,2,mid,0.5094,0.028300000000000002,0.005699999999999999,Cassiopeia,Xerath,Kayle
21,Ekko,2,mid,0.5077,0.0311,0.0058,Garen,Qiyana,Kassadin
22,Cassiopeia,2,mid,0.5165,0.0158,0.0096,Neeko,Talon,Vel'Koz
23,Xerath,2,mid,0.5064,0.0318,0.0252,Naafiri,Garen,Fizz
24,Diana,2,mid,0.5091,0.0246,0.0074,Garen,Brand,Pantheon
25,Akshan,2,mid,0.5108,0.022099999999999998,0.020499999999999997,Garen,Gragas,Annie
26,Ryze,2,mid,0.5081,0.0271,0.0032,Neeko,Cassiopeia,Annie
27,Yasuo,2,mid,0.4919,0.07690000000000001,0.1253,Annie,Taliyah,Qiyana
28,Kassadin,2,mid,0.5075,0.0265,0.031,Brand,Naafiri,Gragas
29,Zed,2,mid,0.4947,0.0587,0.1275,Kayle,Malphite,Cho'Gath
30,Zoe,2,mid,0.5079,0.0239,0.0101,Naafiri,Cho'Gath,Garen
31,Garen,2,mid,0.5262,0.0052,0.0025,Ryze,Annie,Aurelion Sol
32,Vladimir,3,mid,0.5013000000000001,0.032400000000000005,0.0264,Anivia,Vel'Koz,Cho'Gath
33,Fizz,3,mid,0.5025999999999999,0.0298,0.0336,Garen,Akali,Neeko
34,Aurelion Sol,3,mid,0.5077,0.0197,0.0070999999999999995,Fizz,Qiyana,Zed
35,Neeko,3,mid,0.5196000000000001,0.0063,0.002,Taliyah,Lissandra,Vladimir
36,Naafiri,3,mid,0.5139,0.009899999999999999,0.0040999999999999995,Cho'Gath,Kayle,Irelia
37,Gragas,3,mid,0.5115,0.0102,0.0048,Cho'Gath,Vel'Koz,Naafiri
38,Annie,3,mid,0.5124,0.01,0.0016,Neeko,Gragas,Swain
39,Orianna,3,mid,0.4932,0.042699999999999995,0.008,Ziggs,Cho'Gath,Brand
40,Twisted Fate,3,mid,0.49939999999999996,0.0263,0.0023,Neeko,Naafiri,Diana
41,Yone,3,mid,0.48210000000000003,0.0748,0.0588,Cho'Gath,Vex,Veigar
42,LeBlanc,3,mid,0.48719999999999997,0.048499999999999995,0.17550000000000002,Garen,Naafiri,Vex
43,Cho'Gath,3,mid,0.5185,0.005,0.0007000000000000001,Vel'Koz,Qiyana,Pantheon
44,Malphite,3,mid,0.5107,0.0074,0.0105,Cassiopeia,Sylas,Anivia
45,Kayle,3,mid,0.513,0.0064,0.0019,Annie,Neeko,Zoe
46,Swain,3,mid,0.49570000000000003,0.0178,0.0108,Kayle,Azir,Cassiopeia
47,Pantheon,4,mid,0.5049,0.006500000000000001,0.0015,Vel'Koz,Naafiri,Swain
48,Ambessa,4,mid,0.4941,0.006999999999999999,0.0388,Cho'Gath,Corki,Naafiri
49,Azir,4,mid,0.4855,0.0223,0.003,Annie,Neeko,Ziggs
50,Jayce,4,mid,0.48479999999999995,0.0215,0.0066,Naafiri,Brand,Vel'Koz
51,Brand,4,mid,0.5022,0.005,0.0026,Neeko,Cho'Gath,Anivia
52,Ziggs,4,mid,0.4893,0.006500000000000001,0.0017000000000000001,Brand,Kayle,Neeko
53,Corki,4,mid,0.4807,0.0095,0.0091,Garen,Neeko,Gragas
54,Smolder,5,mid,0.4279,0.0167,0.006999999999999999,Kayle,Neeko,Diana
1,Viktor,1,adc,0.5264,0.0218,0.0424,Karthus,Vayne,
2,Nilah,1,adc,0.5365,0.018600000000000002,0.035,Veigar,Hwei,Lux
3,Jinx,1,adc,0.5051,0.21600000000000003,0.0425,Lux,Seraphine,Brand
4,Miss Fortune,1,adc,0.5188,0.0639,0.0062,Seraphine,Viktor,Karthus
5,Ashe,1,adc,0.5042,0.16269999999999998,0.1809,Karthus,Lux,Nilah
6,Kog'Maw,1,adc,0.5265,0.0256,0.0178,Karthus,Seraphine,Ziggs
7,Jhin,1,adc,0.5009,0.1934,0.0383,Nilah,Karthus,Seraphine
8,Vayne,2,adc,0.5159,0.0471,0.026000000000000002,Nilah,Miss Fortune,Seraphine
9,Caitlyn,2,adc,0.49570000000000003,0.2005,0.281,Lux,Seraphine,Ziggs
10,Karthus,2,adc,0.5374,0.0059,0.0125,Hwei,Nilah,Vayne
11,Corki,2,adc,0.5083,0.0674,0.0652,Veigar,Kog'Maw,Seraphine
12,Seraphine,2,adc,0.5297999999999999,0.01,0.0022,Veigar,Karthus,Lux
13,Hwei,2,adc,0.5251,0.0132,0.0125,Viktor,Brand,Seraphine
14,Draven,2,adc,0.5058,0.0623,0.2248,Lux,Swain,Veigar
15,Sivir,2,adc,0.5097999999999999,0.05,0.009300000000000001,Kog'Maw,Seraphine,Viktor
16,Lux,2,adc,0.5275,0.0098,0.0039000000000000003,Karthus,Lucian,Ziggs
17,Ezreal,3,adc,0.4911,0.165,0.0508,Karthus,Nilah,Yasuo
18,Ziggs,3,adc,0.5167,0.0204,0.0053,Yasuo,Viktor,Vayne
19,Xayah,3,adc,0.5089,0.039900000000000005,0.0058,Viktor,Kog'Maw,Miss Fortune
20,Lucian,3,adc,0.503,0.0601,0.0089,Karthus,Brand,Nilah
21,Brand,3,adc,0.525,0.0077,0.0040999999999999995,Karthus,Lux,Yasuo
22,Yasuo,3,adc,0.5185,0.0105,0.0173,Nilah,Karthus,Corki
23,Swain,4,adc,0.514,0.015600000000000001,0.0095,Veigar,Vayne,Ziggs
24,Tristana,4,adc,0.5054,0.034,0.0036,Karthus,Yasuo,Kog'Maw
25,Kai'Sa,4,adc,0.489,0.11900000000000001,0.0173,Karthus,Nilah,Yasuo
26,Varus,4,adc,0.4953,0.07139999999999999,0.0108,Karthus,Hwei,Ziggs
27,Smolder,4,adc,0.4943,0.0626,0.0265,Yasuo,Brand,Lux
28,Veigar,4,adc,0.5207999999999999,0.0067,0.0013,Karthus,Lux,Kog'Maw
29,Twitch,4,adc,0.5013000000000001,0.0322,0.0141,Nilah,Karthus,Yasuo
30,Zeri,5,adc,0.4985,0.0285,0.003,Karthus,Brand,Yasuo
31,Samira,5,adc,0.49200000000000005,0.034300000000000004,0.052300000000000006,Viktor,Nilah,Veigar
32,Aphelios,5,adc,0.4849,0.0452,0.006999999999999999,Brand,Nilah,Yasuo
33,Kalista,5,adc,0.48219999999999996,0.0209,0.0053,Kog'Maw,Brand,Nilah
1,Lulu,1,support,0.5165,0.1484,0.1752,Fiddlesticks,Elise,Tahm Kench
2,Nami,1,support,0.5136,0.10279999999999999,0.0101,Fiddlesticks,Galio,Poppy
3,Janna,2,support,0.5173,0.0608,0.0209,Zoe,Elise,Maokai
4,Tahm Kench,2,support,0.5173,0.0512,0.0617,Janna,Rell,Nami
5,Thresh,2,support,0.5044,0.1293,0.0546,Taric,Elise,Vel'Koz
6,Poppy,2,support,0.5196999999999999,0.0346,0.054000000000000006,Elise,Sona,Taric
7,Braum,2,support,0.5115,0.0623,0.054000000000000006,Senna,Taric,Vel'Koz
8,Senna,3,support,0.5108,0.0591,0.0171,Vel'Koz,Elise,Pyke
9,Pyke,3,support,0.5034000000000001,0.08130000000000001,0.3063,Elise,Maokai,Poppy
10,Soraka,3,support,0.5129,0.0489,0.018600000000000002,Elise,Sylas,Galio
11,Taric,3,support,0.5268999999999999,0.0175,0.0037,Fiddlesticks,Soraka,Elise
12,Rell,3,support,0.5127,0.046,0.0232,Taric,Vel'Koz,Janna
13,Karma,3,support,0.5018,0.0965,0.0395,Fiddlesticks,Pyke,Maokai
14,Sona,3,support,0.5195000000000001,0.026099999999999998,0.0012,Zac,Elise,Camille
15,Milio,3,support,0.5049,0.0592,0.0326,Maokai,Tahm Kench,Lulu
16,Bard,3,support,0.5091,0.044199999999999996,0.006,Elise,Tahm Kench,Fiddlesticks
17,Vel'Koz,3,support,0.5132,0.030699999999999998,0.0064,Elise,Camille,LeBlanc
18,Maokai,3,support,0.5127,0.0282,0.0146,Taric,Galio,Elise
19,Elise,3,support,0.5324,0.0063,0.0072,Galio,Shen,Pantheon
20,Leona,4,support,0.4984,0.056900000000000006,0.049699999999999994,Galio,Janna,Taric
21,Blitzcrank,4,support,0.4961,0.0608,0.17350000000000002,Elise,Taric,Braum
22,Lux,4,support,0.49329999999999996,0.0705,0.0276,LeBlanc,Shen,Poppy
23,Zilean,4,support,0.5069,0.0288,0.0079,Galio,LeBlanc,Sona
24,Xerath,4,support,0.5009,0.0392,0.030699999999999998,Elise,Shen,Maokai
25,Zyra,4,support,0.5045000000000001,0.030699999999999998,0.0182,Taric,Tahm Kench,Pyke
26,Rakan,4,support,0.49810000000000004,0.0472,0.0062,Sona,Janna,Vel'Koz
27,Morgana,4,support,0.5002,0.0356,0.1148,Shaco,Sona,LeBlanc
28,Nautilus,4,support,0.4879,0.0816,0.12380000000000001,Taric,Fiddlesticks,Renata Glasc
29,Seraphine,4,support,0.4986,0.037200000000000004,0.008100000000000001,Elise,Hwei,Sylas
30,Neeko,4,support,0.5045000000000001,0.0197,0.0063,Fiddlesticks,Camille,Sylas
31,Yuumi,4,support,0.48840000000000006,0.0584,0.0712,Taric,Rell,Braum
32,Pantheon,4,support,0.5011,0.019299999999999998,0.0044,Taric,LeBlanc,Braum
33,Alistar,4,support,0.4915,0.036699999999999997,0.0124,Soraka,Janna,Morgana
34,Renata Glasc,4,support,0.4989,0.0216,0.0038,Xerath,Vel'Koz,Galio
35,LeBlanc,4,support,0.5064,0.0095,0.0338,Taric,Galio,Elise
36,Brand,5,support,0.49770000000000003,0.0194,0.0101,Camille,Galio,Pantheon
37,Sylas,5,support,0.4974,0.014199999999999999,0.0134,Taric,Poppy,Renata Glasc
38,Shaco,5,support,0.4972,0.014199999999999999,0.039,Hwei,Zoe,Lulu
39,Galio,5,support,0.5046,0.0083,0.005600000000000001,Zac,Janna,Milio
40,Zoe,5,support,0.5009,0.01,0.0040999999999999995,Taric,Elise,Poppy
41,Fiddlesticks,5,support,0.5065,0.0051,0.0028000000000000004,Poppy,Maokai,Renata Glasc
42,Camille,5,support,0.4987,0.0059,0.0027,LeBlanc,Shaco,Taric
43,Shen,5,support,0.4987,0.0058,0.0007000000000000001,Galio,Zoe,Lulu
44,Hwei,5,support,0.4889,0.0088,0.008100000000000001,LeBlanc,Elise,Zoe
45,Swain,5,support,0.47479999999999994,0.0232,0.0138,Fiddlesticks,Vel'Koz,Sona
46,Zac,5,support,0.48219999999999996,0.0053,0.0031,Taric,Elise,LeBlanc
