player_id,region,total_games,wins,losses,win_rate,avg_kills,avg_deaths,avg_assists,kda_ratio,kill_participation,most_champ_1,WR_1,W_1,L_1,KDA_1,most_champ_2,WR_2,W_2,L_2,KDA_2,most_champ_3,WR_3,W_3,L_3,KDA_3,TOP,JUNGLE,MID,ADC,SUPPORT,most_role_1,most_role_2,most_role_1_value,most_role_2_value,season_champ_1,cs_ssn_1,cpm_ssn_1,kda_ssn_1,k_ssn_1,d_ssn_1,a_ssn_1,wr_ssn_1,games_ssn_1,season_champ_2,cs_ssn_2,cpm_ssn_2,kda_ssn_2,k_ssn_2,d_ssn_2,a_ssn_2,wr_ssn_2,games_ssn_2,season_champ_3,cs_ssn_3,cpm_ssn_3,kda_ssn_3,k_ssn_3,d_ssn_3,a_ssn_3,wr_ssn_3,games_ssn_3,season_champ_4,cs_ssn_4,cpm_ssn_4,kda_ssn_4,k_ssn_4,d_ssn_4,a_ssn_4,wr_ssn_4,games_ssn_4,season_champ_5,cs_ssn_5,cpm_ssn_5,kda_ssn_5,k_ssn_5,d_ssn_5,a_ssn_5,wr_ssn_5,games_ssn_5,season_champ_6,cs_ssn_6,cpm_ssn_6,kda_ssn_6,k_ssn_6,d_ssn_6,a_ssn_6,wr_ssn_6,games_ssn_6,season_champ_7,cs_ssn_7,cpm_ssn_7,kda_ssn_7,k_ssn_7,d_ssn_7,a_ssn_7,wr_ssn_7,games_ssn_7,7d_champ_1,7d_total_1,7d_W_1,7d_L_1,7d_WR_1,7d_champ_2,7d_total_2,7d_W_2,7d_L_2,7d_WR_2,7d_champ_3,7d_total_3,7d_W_3,7d_L_3,7d_WR_3,mastery_champ_1,m_lv_1,mastery_champ_2,m_lv_2,mastery_champ_3,m_lv_3,mastery_champ_4,m_lv_4,mastery_champ_5,m_lv_5,mastery_champ_6,m_lv_6,mastery_champ_7,m_lv_7,mastery_champ_8,m_lv_8,mastery_champ_9,m_lv_9,mastery_champ_10,m_lv_10,mastery_champ_11,m_lv_11,mastery_champ_12,m_lv_12,mastery_champ_13,m_lv_13,mastery_champ_14,m_lv_14,mastery_champ_15,m_lv_15,mastery_champ_16,m_lv_16
민철이여친구함 #0415,kr,20,14,6,0.7,5.8,5.3,8.3,2.66,0.52,Viktor,0.71,5,2,2.79,Ezreal,1.0,2,0,4.22,Orianna,0.5,1,1,3.08,0.15,0.0,0.55,0.2,0.1,MID,ADC,0.55,0.2,Sylas,173.9,7.3,2.78,5.5,4.4,6.7,0.59,51,Hwei,204.6,8.3,4.04,5.3,3.4,8.4,0.79,42,Yone,215.6,8.9,2.21,4.7,4.5,5.3,0.67,42,Smolder,223.2,8.9,2.81,5.2,4.3,6.8,0.68,37,Aurora,194.9,7.9,3.17,6.4,4.0,6.3,0.52,33,Jinx,217.7,8.3,2.01,7.8,6.8,5.8,0.48,33,Corki,216.4,8.7,2.12,5.4,5.2,5.6,0.71,28,Viktor,7.0,5.0,2.0,0.71,Ambessa,4.0,3.0,1.0,0.75,Ezreal,2.0,2.0,0.0,1.0,Sylas,23,Taliyah,19,Ahri,19,LeBlanc,19,Yone,19,Zoe,17,Hwei,17,Tristana,16,Orianna,15,Syndra,14,Corki,14,Azir,13,Akali,13,Katarina,12,Lucian,11,Cassiopeia,11
클래식좀들어라 #KR2,kr,20,14,6,0.7,7.3,3.8,7.3,3.84,0.56,Ambessa,0.86,6,1,3.7,Lee Sin,0.8,4,1,4.0,Viego,0.75,3,1,4.79,0.05,0.95,0.0,0.0,0.0,JUNGLE,TOP,0.95,0.05,Nidalee,174.3,7.4,4.45,6.3,3.0,7.3,0.61,59,Lillia,188.5,7.7,3.52,6.0,3.8,7.3,0.62,52,Lee Sin,171.2,6.9,3.93,6.5,3.7,8.1,0.59,44,Viego,183.4,7.3,3.4,7.1,4.2,7.2,0.6,42,Elise,175.5,6.9,4.06,7.9,3.9,7.9,0.72,25,Graves,205.5,8.3,4.08,8.0,3.7,7.0,0.57,23,Vi,170.9,6.9,2.86,4.8,4.2,7.2,0.41,22,Ambessa,10.0,8.0,2.0,0.8,Viego,6.0,5.0,1.0,0.83,Lee Sin,5.0,4.0,1.0,0.8,Nidalee,59,Lee Sin,50,Graves,24,Viego,23,Vi,17,Taliyah,12,Lillia,12,Rumble,11,,0,,0,,0,,0,,0,,0,,0,,0
조관우급 늪 설치 #KR1,kr,20,12,8,0.6,5.0,5.0,5.8,2.16,0.4,Cassiopeia,0.63,12,7,2.32,Braum,0.0,0,1,0.67,,0.0,0,0,0.0,0.7,0.0,0.25,0.0,0.05,TOP,MID,0.7,0.25,Cassiopeia,188.7,7.4,2.51,5.3,4.5,6.0,0.6,262,Braum,23,1,1.87,0.9,4.9,8.1,0.43,14,Ryze,173,6.9,1.23,2.0,5.2,4.4,0.4,5,Thresh,29.8,1.1,2.68,1.0,4.8,11.8,0.5,4,,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0.0,0,Cassiopeia,3.0,3.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Cassiopeia,333,Nautilus,42,Thresh,30,Master Yi,19,Ryze,11,Blitzcrank,10,Lee Sin,10,,0,Morgana,10,,0,,0,,0,,0,,0,,0,,0
Ivory #1012,kr,20,11,9,0.55,5.2,4.7,8.5,2.91,0.53,Ekko,0.5,2,2,2.14,Taliyah,1.0,3,0,4.31,Viego,0.67,2,1,4.25,0.1,0.35,0.55,0.0,0.0,MID,JUNGLE,0.55,0.35,Yone,209,8.6,2.37,4.8,4.2,5.2,0.57,113,Aurora,200.1,7.7,3.03,6.1,4.3,6.9,0.56,72,Viego,170.6,6.9,3.16,6.3,4.3,7.3,0.58,67,Corki,218.8,8.7,2.01,5.9,5.6,5.3,0.55,62,Orianna,206.8,8.1,3.14,5.2,4.4,8.6,0.6,60,Sylas,138.7,5.6,2.33,5.7,5.9,8.0,0.42,59,Hwei,211.9,8.1,2.58,4.2,4.5,7.4,0.46,39,Yone,3.0,2.0,1.0,0.67,Taliyah,2.0,2.0,0.0,1.0,Sylas,2.0,1.0,1.0,0.5,Yone,27,Corki,25,Tristana,22,Viego,15,Sylas,14,Aurora,14,Orianna,12,Hwei,10,,0,,0,,0,,0,,0,,0,,0,,0
M G #2821,kr,20,9,11,0.45,6.9,5.0,8.8,3.14,0.58,Sylas,0.75,3,1,4.87,Ryze,0.5,2,2,2.82,Swain,0.67,2,1,2.78,0.0,0.15,0.75,0.0,0.1,MID,JUNGLE,0.75,0.15,Sylas,137.2,5.6,3.61,7.0,4.2,8.4,0.62,137,Taliyah,202.1,7.6,4.15,6.6,4.0,10.2,0.54,80,Swain,151,5.8,3.64,5.0,4.6,11.5,0.6,77,Hwei,211.1,7.9,3.75,6.8,3.9,7.9,0.47,59,Orianna,205.3,7.9,4.73,6.1,3.4,9.8,0.59,41,Yone,196.7,8.1,2.3,3.9,3.9,5.1,0.53,38,Aurora,183.6,7.6,3.88,6.2,3.3,6.7,0.49,37,Aurora,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Sylas,72,Taliyah,31,Akali,30,Sion,29,Swain,28,Ekko,19,Ryze,18,Yone,15,Ahri,15,Orianna,15,Vex,12,Galio,12,Tristana,12,Hwei,12,Irelia,11,,0
xiaofang #qaq,kr,20,11,9,0.55,7.6,5.6,9.3,3.02,0.61,Zyra,0.6,3,2,3.38,Viego,0.5,2,2,2.83,Skarner,0.5,2,2,2.5,0.05,0.95,0.0,0.0,0.0,JUNGLE,TOP,0.95,0.05,Viego,162.3,6.6,2.91,8.1,5.3,7.4,0.56,117,Zyra,186.7,7.4,3.22,6.4,5.1,10.0,0.58,107,Graves,175.3,7.3,2.53,8.7,5.7,5.7,0.55,62,Elise,157.4,5.9,3.02,9.5,5.6,7.3,0.58,36,Lee Sin,152.2,6,3.68,8.4,4.5,8.3,0.56,36,Skarner,136.8,5.4,3.57,5.2,4.8,12.0,0.63,32,Jhin,170.6,7.7,3.39,7.6,4.2,6.6,0.6,25,Elise,1.0,1.0,0.0,1.0,Varus,1.0,0.0,1.0,0.0,Viego,1.0,0.0,1.0,0.0,Viego,14,Zyra,13,Graves,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
FATE #KR2,kr,20,12,8,0.6,4.7,4.5,7.9,2.8,0.48,Galio,0.67,2,1,5.44,Sylas,0.67,2,1,1.9,Akali,0.33,1,2,1.92,0.1,0.0,0.9,0.0,0.0,MID,TOP,0.9,0.1,Yone,208.9,8.4,2.43,4.9,4.4,5.7,0.56,54,Sylas,179.5,7.2,2.96,5.8,4.3,7.1,0.66,47,Orianna,208.5,8.3,3.35,4.2,3.8,8.6,0.61,46,Corki,213.4,9,2.9,4.0,3.2,5.3,0.66,29,Aurora,181.6,7.4,3.31,6.2,4.0,7.0,0.61,28,Hwei,220.3,8.3,3.58,4.0,3.5,8.7,0.57,28,Jayce,217.2,8.3,2.54,5.4,4.5,6.0,0.5,28,Yone,1.0,1.0,0.0,1.0,Galio,1.0,1.0,0.0,1.0,Corki,1.0,0.0,1.0,0.0,Syndra,28,LeBlanc,28,Ryze,26,Taliyah,25,Akali,24,Yone,21,Orianna,21,Cassiopeia,19,Jayce,21,Zoe,19,Sylas,17,Tristana,17,Lucian,16,Hwei,15,Irelia,14,Corki,14
fa ady #kr3,kr,20,14,6,0.7,5.7,4.7,8.7,3.06,0.52,K'Sante,1.0,4,0,2.81,Pantheon,1.0,3,0,4.42,Skarner,0.67,2,1,4.5,0.7,0.2,0.1,0.0,0.0,TOP,JUNGLE,0.7,0.2,Pantheon,150.9,6.2,2.86,7.4,5.1,7.2,0.64,94,K'Sante,173,6.7,2.47,5.2,5.1,7.5,0.61,87,Ambessa,163.6,6.5,1.95,5.1,5.6,5.9,0.42,55,Vi,148.1,6,2.52,4.8,5.2,8.4,0.51,53,Maokai,159.4,6.4,2.5,2.7,5.4,10.8,0.58,52,Jayce,193.5,7.8,1.93,6.0,6.1,5.8,0.53,49,Taric,115.2,4.9,3.19,2.0,4.8,13.3,0.51,49,K'Sante,25.0,18.0,7.0,0.72,Pantheon,15.0,10.0,5.0,0.67,Gnar,13.0,8.0,5.0,0.62,Taric,71,Galio,48,Pantheon,42,K'Sante,34,Poppy,27,Vi,24,Aatrox,19,Shyvana,18,Jayce,19,Rumble,18,Kennen,18,Udyr,17,Gnar,15,Shen,14,Volibear,14,Camille,14
FOX Career #0829,kr,20,15,5,0.75,2.8,3.7,12.2,4.05,0.6,Poppy,0.75,9,3,4.0,Pyke,0.67,2,1,2.88,Bard,0.5,1,1,8.33,0.0,0.05,0.0,0.05,0.9,SUPPORT,JUNGLE,0.9,0.05,Poppy,28.3,1.1,3.88,2.9,3.9,12.2,0.63,166,Pyke,34.2,1.3,3.53,5.6,4.2,9.1,0.53,97,Lee Sin,171.9,6.8,4.83,6.8,3.3,9.2,0.59,56,Rell,27.3,1.1,4.15,1.5,4.2,16.0,0.52,54,Bard,28.9,1.2,5.38,1.5,2.9,14.1,0.55,44,Leona,27.2,1.2,2.62,1.0,4.6,11.0,0.45,44,Nidalee,182.5,6.9,3.46,5.7,3.8,7.5,0.29,28,Poppy,9.0,7.0,2.0,0.78,Pyke,2.0,1.0,1.0,0.5,Bard,2.0,1.0,1.0,0.5,Pyke,29,Poppy,28,Rell,17,Rakan,16,Nautilus,16,Bard,15,Lee Sin,14,Leona,12,Alistar,10,,0,,0,,0,,0,,0,,0,,0
Happy #day12,kr,20,6,13,0.32,2.2,6.3,15.0,2.73,0.65,Leona,0.33,1,2,2.41,Rell,0.5,1,1,3.23,Rakan,0.0,0,2,2.79,0.0,0.0,0.0,0.0,0.0,MID,JUNGLE,0.0,0.0,Rell,22.7,0.9,3.85,1.5,4.5,15.8,0.59,95,Poppy,25.1,1,3.19,2.6,5.1,13.5,0.66,76,Bard,21.9,0.8,4.55,1.6,3.6,14.6,0.54,68,Alistar,22.4,0.9,3.44,1.4,4.9,15.5,0.56,61,Pyke,32.2,1.2,2.74,5.0,5.6,10.5,0.6,57,Leona,24.8,1,2.59,1.5,5.4,12.5,0.57,56,Rakan,26.4,1,3.71,1.2,4.1,13.9,0.44,39,Leona,4.0,2.0,2.0,0.5,Poppy,2.0,1.0,1.0,0.5,Rell,2.0,1.0,1.0,0.5,Thresh,45,Rell,38,Alistar,38,Nautilus,35,Leona,31,Rakan,30,Karma,24,Pyke,23,Bard,20,Renata Glasc,16,Braum,16,Tahm Kench,15,Blitzcrank,13,Senna,13,Lulu,11,Poppy,11
카 엘 #0211,kr,20,13,7,0.65,2.6,5.3,8.5,2.09,0.5,Poppy,1.0,3,0,2.6,Corki,1.0,2,0,4.33,Rakan,1.0,2,0,3.7,0.0,0.0,0.0,0.2,0.8,SUPPORT,ADC,0.8,0.2,Poppy,32.2,1.4,3.04,2.6,4.8,12.1,0.78,46,Jhin,181.8,7.8,4.46,6.0,3.2,8.5,0.62,21,Alistar,23.5,1,3.83,1.3,4.1,14.3,0.79,19,Kog'Maw,183.9,8.2,2.87,5.8,3.7,4.7,0.6,15,Rakan,28.9,1.1,3,1.4,4.7,12.6,0.33,15,Pyke,31.2,1.3,2.09,5.5,6.8,8.8,0.54,13,Kalista,189.7,7.6,3.08,6.5,4.5,7.3,0.64,11,Corki,2.0,2.0,0.0,1.0,Lux,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,Thresh,23,Karma,20,Bard,19,Alistar,18,Rakan,18,Nautilus,17,Leona,17,Lux,12,Renata Glasc,13,Sett,12,Rell,12,Lulu,11,Senna,11,Pyke,10,Poppy,10,Pantheon,10
민 재 #555,kr,20,14,6,0.7,7.9,4.1,7.2,3.68,0.62,Lee Sin,0.86,6,1,4.04,Viego,0.4,2,3,2.47,Orianna,1.0,2,0,4.09,0.0,0.8,0.15,0.05,0.0,JUNGLE,MID,0.8,0.15,Viego,163.2,6.7,3.61,6.8,3.7,6.7,0.57,140,Nidalee,169.1,6.6,4.59,7.6,3.6,8.8,0.53,95,Lee Sin,155,6.2,3.41,6.7,4.1,7.3,0.51,86,Graves,188.8,7.6,3.36,7.8,4.1,5.9,0.5,58,Jax,166.7,6.9,3.13,4.1,2.7,4.4,0.6,42,Kayn,179,7.1,2.81,8.3,4.7,4.8,0.48,29,Orianna,179.8,6.8,3.02,4.7,4.6,9.3,0.48,27,Lee Sin,4.0,3.0,1.0,0.75,Viego,2.0,1.0,1.0,0.5,Nidalee,1.0,0.0,1.0,0.0,Lee Sin,18,Viego,17,Ezreal,15,Shen,15,Nidalee,14,Thresh,11,,0,,0,Jax,10,Graves,10,,0,,0,,0,,0,,0,,0
칼과 창 방패 #KR1,kr,20,12,8,0.6,4.3,4.3,6.1,2.42,0.42,Poppy,0.64,7,4,2.67,Warwick,0.71,5,2,2.46,Wukong,0.0,0,1,1.88,0.9,0.0,0.05,0.0,0.05,TOP,MID,0.9,0.05,Warwick,148.9,5.9,2.62,5.3,4.6,6.7,0.64,198,Poppy,144.8,5.9,2.75,3.7,3.7,6.5,0.59,117,Renekton,155.8,6.4,1.61,2.9,4.8,4.8,0.38,13,Ekko,150.1,5.9,2.7,7.0,5.8,8.5,0.63,8,Wukong,166.3,5.7,2.71,4.8,5.3,9.5,0.75,4,Shen,117,5,1.6,3.0,5.0,5.0,0.5,2,,0,0,0,0,0,0,0.0,0,,,,,,,,,,,,,,,,Poppy,299,Warwick,84,Ekko,33,Irelia,11,Aatrox,10,Sett,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
