player_id,region,total_games,wins,losses,win_rate,avg_kills,avg_deaths,avg_assists,kda_ratio,kill_participation,most_champ_1,WR_1,W_1,L_1,KDA_1,most_champ_2,WR_2,W_2,L_2,KDA_2,most_champ_3,WR_3,W_3,L_3,KDA_3,TOP,JUNGLE,MID,ADC,SUPPORT,most_role_1,most_role_2,most_role_1_value,most_role_2_value,season_champ_1,cs_ssn_1,cpm_ssn_1,kda_ssn_1,k_ssn_1,d_ssn_1,a_ssn_1,wr_ssn_1,games_ssn_1,season_champ_2,cs_ssn_2,cpm_ssn_2,kda_ssn_2,k_ssn_2,d_ssn_2,a_ssn_2,wr_ssn_2,games_ssn_2,season_champ_3,cs_ssn_3,cpm_ssn_3,kda_ssn_3,k_ssn_3,d_ssn_3,a_ssn_3,wr_ssn_3,games_ssn_3,season_champ_4,cs_ssn_4,cpm_ssn_4,kda_ssn_4,k_ssn_4,d_ssn_4,a_ssn_4,wr_ssn_4,games_ssn_4,season_champ_5,cs_ssn_5,cpm_ssn_5,kda_ssn_5,k_ssn_5,d_ssn_5,a_ssn_5,wr_ssn_5,games_ssn_5,season_champ_6,cs_ssn_6,cpm_ssn_6,kda_ssn_6,k_ssn_6,d_ssn_6,a_ssn_6,wr_ssn_6,games_ssn_6,season_champ_7,cs_ssn_7,cpm_ssn_7,kda_ssn_7,k_ssn_7,d_ssn_7,a_ssn_7,wr_ssn_7,games_ssn_7,7d_champ_1,7d_total_1,7d_W_1,7d_L_1,7d_WR_1,7d_champ_2,7d_total_2,7d_W_2,7d_L_2,7d_WR_2,7d_champ_3,7d_total_3,7d_W_3,7d_L_3,7d_WR_3,mastery_champ_1,m_lv_1,mastery_champ_2,m_lv_2,mastery_champ_3,m_lv_3,mastery_champ_4,m_lv_4,mastery_champ_5,m_lv_5,mastery_champ_6,m_lv_6,mastery_champ_7,m_lv_7,mastery_champ_8,m_lv_8,mastery_champ_9,m_lv_9,mastery_champ_10,m_lv_10,mastery_champ_11,m_lv_11,mastery_champ_12,m_lv_12,mastery_champ_13,m_lv_13,mastery_champ_14,m_lv_14,mastery_champ_15,m_lv_15,mastery_champ_16,m_lv_16
Walid Georgey #EUW,euw,20,15,5,0.75,2.0,5.1,15.5,3.43,0.62,Nautilus,0.57,4,3,3.45,Rell,1.0,3,0,4.57,Leona,0.5,1,1,2.33,0.0,0.0,0.05,0.0,0.95,SUPPORT,MID,0.95,0.05,Rell,20.5,0.8,3.72,2.0,4.9,16.3,0.6,83,Nautilus,23.7,0.9,3.29,1.8,4.8,14.1,0.59,76,Renata Glasc,24.4,0.9,5.34,1.4,3.8,18.8,0.73,41,Poppy,24.1,0.9,3.03,3.1,5.1,12.2,0.66,35,Rakan,21.6,0.9,4.91,1.1,3.1,14.1,0.61,31,Karma,34.6,1.3,5.3,2.7,3.5,15.8,0.76,25,Leona,24.2,0.9,3.03,1.6,5.9,16.2,0.64,25,Milio,1.0,1.0,0.0,1.0,Karma,1.0,1.0,0.0,1.0,Lulu,1.0,1.0,0.0,1.0,Thresh,39,Nautilus,31,Pyke,28,Zoe,23,Rakan,21,Rell,19,Blitzcrank,15,Ezreal,14,Renata Glasc,16,Karma,14,Vel'Koz,12,Yasuo,12,Senna,12,Nami,12,Lee Sin,11,Lux,10
KC NEXT ADKING #EUW,euw,20,14,6,0.7,8.8,3.9,7.1,4.08,0.6,Corki,0.71,5,2,4.29,Miss Fortune,0.5,2,2,3.41,Jhin,1.0,2,0,5.43,0.05,0.0,0.0,0.95,0.0,ADC,TOP,0.95,0.05,Ezreal,228.4,8.9,3.47,7.4,4.0,6.4,0.66,50,Ashe,227.1,8.8,3.66,7.2,4.3,8.5,0.65,40,Corki,252.3,9.4,3.06,7.0,4.5,6.9,0.46,24,Ziggs,239.5,9,2.89,4.5,4.3,7.9,0.68,19,Kai'Sa,247.9,9.4,4.28,8.9,3.6,6.6,0.75,16,Jinx,282.3,9.7,6.44,12.2,3.2,8.4,1.0,10,Kalista,231,8.7,3.63,9.2,4.4,6.9,0.78,9,Corki,7.0,5.0,2.0,0.71,Miss Fortune,4.0,2.0,2.0,0.5,Jhin,2.0,2.0,0.0,1.0,Kai'Sa,36,Ezreal,28,Draven,23,Jhin,20,Zeri,20,Jinx,19,Tristana,16,Aphelios,15,Ashe,17,Varus,15,Lucian,14,Xayah,14,Caitlyn,12,Miss Fortune,12,Kalista,11,Vayne,11
Shourdy #EUW,euw,20,11,8,0.58,4.3,6.7,8.3,1.88,0.45,K'Sante,0.6,6,4,2.18,Ambessa,0.67,2,1,1.67,Aatrox,0.5,1,1,2.89,0.0,0.0,0.0,0.0,0.0,MID,JUNGLE,0.0,0.0,K'Sante,180.9,6.8,2.12,5.7,6.0,7.0,0.62,198,Garen,228,8.1,1.85,5.5,5.5,4.6,0.55,80,Ambessa,177.9,6.6,1.38,5.0,7.6,5.4,0.43,49,Jax,179.5,6.4,1.73,5.3,6.8,6.5,0.57,30,Sett,157.6,6.4,1.36,4.6,7.3,5.4,0.5,14,Kled,191.5,7.2,2.19,6.8,6.4,7.1,0.55,11,Aatrox,171,6,1.74,4.9,8.8,10.4,0.38,8,K'Sante,32.0,19.0,13.0,0.59,Ambessa,15.0,8.0,7.0,0.53,Sett,9.0,4.0,5.0,0.44,Aatrox,85,K'Sante,78,Sett,47,Yasuo,33,Kled,28,Garen,27,Zed,19,Yone,16,Illaoi,18,Camille,16,Pantheon,14,Jax,14,Kayn,13,Dr. Mundo,11,Renekton,10,Jhin,10
113 改善 #113,euw,20,8,12,0.4,4.4,6.5,10.0,2.22,0.59,Nidalee,0.4,2,3,2.72,Ambessa,0.5,1,1,2.11,Zyra,0.5,1,1,1.88,0.0,0.9,0.0,0.0,0.1,JUNGLE,SUPPORT,0.9,0.1,Viego,145.3,6,3.22,8.2,5.4,9.1,0.66,99,Zyra,187,7.1,3.27,5.9,4.8,9.7,0.53,32,Lee Sin,128.4,5.3,3.15,8.9,5.8,9.5,0.48,31,Skarner,121.5,4.9,3.24,5.2,5.6,12.8,0.72,25,Nidalee,166.9,6.4,2.87,6.9,5.5,9.0,0.47,17,Diana,181.9,7.4,2.51,7.9,5.4,5.6,0.36,14,Aurora,136.5,5.5,2.97,7.6,5.5,8.8,0.55,11,Xin Zhao,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Viego,47,Lee Sin,47,Nidalee,24,Taliyah,20,Karthus,18,Lillia,15,Olaf,13,Volibear,13,Elise,12,Xin Zhao,11,Jarvan IV,10,Vi,10,,0,,0,,0,,0
Koldo #1233,euw,20,8,12,0.4,7.3,5.3,9.0,3.08,0.6,Wukong,0.5,3,3,5.47,Viego,0.5,2,2,2.78,Vi,0.67,2,1,5.73,0.05,0.85,0.1,0.0,0.0,JUNGLE,MID,0.85,0.1,Viego,175,6.5,3.58,8.2,4.8,9.1,0.57,96,Graves,215.4,7.8,4.01,8.9,4.2,7.9,0.54,52,Elise,139.1,5.4,3.57,8.3,4.6,8.0,0.63,51,Lee Sin,161,5.7,3.47,8.5,5.2,9.6,0.54,41,Bel'Veth,170.3,6.6,3.93,8.6,4.2,7.8,0.56,32,Skarner,124.4,5.2,4.85,5.5,3.5,11.4,0.57,28,Vi,159,5.8,4.05,6.4,4.6,12.2,0.58,26,Wukong,4.0,2.0,2.0,0.5,Vi,3.0,2.0,1.0,0.67,Corki,1.0,1.0,0.0,1.0,Lee Sin,110,Gragas,46,Viego,40,Graves,39,Taliyah,35,Rek'Sai,32,Nidalee,28,Zac,23,Bel'Veth,27,Elise,22,Jarvan IV,19,Sejuani,14,Vayne,14,Ezreal,13,Vi,13,Lillia,12
avarice61 #EUW,euw,20,9,11,0.45,5.1,4.5,5.9,2.44,0.47,Miss Fortune,0.2,1,4,1.74,Ezreal,0.67,2,1,3.73,Smolder,0.67,2,1,2.78,0.1,0.0,0.0,0.85,0.05,ADC,TOP,0.85,0.1,Varus,220.5,8.3,3.51,6.9,4.0,7.0,0.57,42,Ezreal,239.4,8.7,4.78,7.7,3.2,7.7,0.64,36,Aphelios,220.1,8.5,2.85,7.0,4.2,4.9,0.52,27,Zeri,256.6,9.1,3.17,7.4,4.7,7.4,0.54,26,Smolder,242,9,3.49,6.8,3.5,5.3,0.55,20,Kog'Maw,222.5,8.7,3.89,6.4,3.3,6.5,0.71,17,Miss Fortune,256.4,9.4,2.49,5.8,4.1,4.3,0.33,12,Ezreal,1.0,1.0,0.0,1.0,Kog'Maw,1.0,1.0,0.0,1.0,Ornn,1.0,0.0,1.0,0.0,Ezreal,65,Aphelios,55,Xayah,34,Kai'Sa,31,Varus,27,Jinx,26,Kog'Maw,24,Miss Fortune,21,Zeri,21,Lucian,19,Ashe,17,Galio,16,Caitlyn,16,Orianna,15,Sivir,15,Jhin,12
Duras Diurpaneus #rnk1,euw,20,9,11,0.45,8.7,6.1,6.4,2.48,0.56,Kog'Maw,0.33,3,6,1.83,Draven,0.63,5,3,3.0,Varus,0.0,0,2,4.0,0.0,0.0,0.05,0.95,0.0,ADC,MID,0.95,0.05,Draven,209.8,8.1,2.28,10.3,6.7,4.9,0.61,334,Kog'Maw,194.6,7.2,2.09,8.2,7.2,6.9,0.51,165,Samira,184.5,7.3,2.51,9.9,6.1,5.3,0.6,48,Corki,189.1,7.1,1.6,5.5,7.0,5.7,0.27,15,Varus,163.6,6.8,1.86,7.9,7.0,5.1,0.29,7,Caitlyn,183.7,7.7,2,7.7,6.0,4.3,0.33,3,Ezreal,213.7,7.7,2.22,6.0,6.0,7.3,0.33,3,Draven,28.0,16.0,12.0,0.57,Kog'Maw,26.0,15.0,11.0,0.58,Varus,3.0,0.0,3.0,0.0,Draven,39,Kog'Maw,18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
ANKARAI0MESSI #EUW,euw,20,14,6,0.7,7.4,4.6,11.3,4.07,0.59,Elise,0.33,1,2,3.58,Kindred,1.0,2,0,5.4,Xin Zhao,1.0,2,0,4.5,0.0,0.9,0.1,0.0,0.0,JUNGLE,MID,0.9,0.1,Skarner,127.4,5,4.33,5.4,3.9,11.6,0.7,27,Elise,156.2,5.7,3.92,9.8,4.9,9.6,0.52,27,Graves,187.7,6.8,2.8,8.5,5.6,7.1,0.54,24,Viego,167.9,6,3.15,7.4,4.9,7.9,0.52,23,Gragas,162.4,6.2,4.09,7.1,3.8,8.3,0.71,17,Wukong,138.8,5.5,3.29,8.8,5.0,7.7,0.46,13,Xin Zhao,163.5,5.6,3.52,6.7,5.3,11.8,0.73,11,,,,,,,,,,,,,,,,Graves,13,Viego,12,Gragas,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Szygenda #EUW,euw,20,11,9,0.55,5.5,3.1,5.6,3.58,0.44,K'Sante,0.8,4,1,9.38,Aurora,0.2,1,4,2.92,Jayce,0.67,2,1,5.57,0.95,0.0,0.05,0.0,0.0,TOP,MID,0.95,0.05,Aurora,220.9,8,3.68,5.9,3.5,7.0,0.55,62,K'Sante,203.9,7.9,4.14,4.7,2.8,7.1,0.64,58,Gnar,200.8,8.5,3.56,4.9,2.7,4.7,0.73,22,Jayce,225.3,8.7,3.82,7.3,3.4,5.6,0.69,13,Ambessa,205,7.4,2.15,4.7,4.7,5.4,0.54,13,Jax,195.6,8,2.22,4.2,3.6,3.7,0.33,9,Renekton,216.1,8.1,2.71,5.5,4.3,6.0,0.75,8,Akali,1.0,1.0,0.0,1.0,Aurora,1.0,1.0,0.0,1.0,Rumble,1.0,1.0,0.0,1.0,Camille,17,Jayce,14,Akali,12,Gangplank,12,Yasuo,11,Fiora,11,Kennen,11,Aatrox,10,Sylas,13,K'Sante,11,Gnar,10,,0,,0,,0,,0,,0
Frank Castle #2610,euw,20,13,7,0.65,2.3,4.7,13.5,3.36,0.56,Nautilus,0.71,5,2,3.34,Rakan,0.75,3,1,6.0,Karma,0.5,1,1,3.13,0.0,0.0,0.0,0.1,0.9,SUPPORT,ADC,0.9,0.1,Nautilus,22.6,0.8,2.93,1.8,5.2,13.4,0.49,63,Leona,21,0.8,3.34,1.7,4.7,13.9,0.63,38,Rakan,24.1,1,3.98,1.2,4.0,14.6,0.62,29,Rell,21.5,0.8,3.56,1.4,4.7,15.3,0.46,28,Braum,19.3,0.7,3.45,1.0,5.5,17.9,0.65,23,Poppy,26.4,0.9,3.08,3.4,5.7,14.2,0.68,22,Senna,25.2,0.9,4.68,2.8,4.1,16.2,0.72,18,Nautilus,4.0,2.0,2.0,0.5,Cho'Gath,1.0,1.0,0.0,1.0,Blitzcrank,1.0,1.0,0.0,1.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Patrick Jane #Tea,euw,20,13,6,0.68,6.9,3.1,5.6,4.03,0.46,Vladimir,0.71,12,5,4.04,Gragas,0.5,1,1,4.8,,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,MID,JUNGLE,0.0,0.0,Vladimir,218.5,8.4,3.19,8.4,4.3,5.2,0.66,164,Ahri,213.6,8.1,3.17,8.4,5.0,7.4,0.61,31,Senna,28.7,1.1,3.62,5.0,5.0,13.1,0.67,9,Viktor,221.8,8,2.29,9.9,6.6,5.1,0.56,9,Ambessa,222.2,7.7,1.91,8.9,7.7,5.8,0.44,9,Hwei,121.8,4.6,1.55,2.6,7.6,9.2,0.2,5,Renekton,237,7.5,2.47,9.5,7.5,9.0,0.5,2,Vladimir,33.0,24.0,9.0,0.73,Gragas,2.0,1.0,1.0,0.5,Ahri,1.0,0.0,1.0,0.0,Vladimir,129,Ahri,16,Kassadin,13,Ezreal,12,LeBlanc,11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Subbex #EUW,euw,20,11,9,0.55,7.2,3.5,6.9,4.03,0.58,Corki,0.67,4,2,3.3,Jhin,0.75,3,1,9.63,Varus,0.67,2,1,4.38,0.05,0.0,0.05,0.9,0.0,ADC,MID,0.9,0.05,Ashe,210.3,7.8,3.2,5.3,4.5,9.2,0.52,52,Yasuo,220.4,8.3,2.49,6.6,5.0,5.8,0.63,51,Corki,221.1,8.5,4.21,7.1,3.5,7.4,0.55,31,Ezreal,209.9,7.9,3.48,6.4,3.6,6.1,0.66,29,Jhin,212.4,8.3,4.87,7.2,3.0,7.1,0.57,21,Draven,188.7,8.1,3.16,7.0,3.7,4.6,0.67,12,Jinx,206.5,8.4,5.1,8.6,3.0,6.7,0.8,10,Corki,6.0,4.0,2.0,0.67,Jhin,4.0,3.0,1.0,0.75,Varus,3.0,2.0,1.0,0.67,Yasuo,54,Draven,49,Ezreal,40,Kai'Sa,33,Jhin,27,Ashe,24,Rengar,18,Varus,16,Miss Fortune,16,Jinx,15,Zeri,15,Corki,15,Sivir,12,Aphelios,12,Xayah,11,Yone,10
HotGuy6Pack #MUTE,euw,20,8,12,0.4,4.7,4.2,9.6,3.4,0.64,Vi,0.5,2,2,5.36,Skarner,0.67,2,1,3.62,Viego,0.5,1,1,4.0,0.0,0.85,0.0,0.0,0.15,JUNGLE,SUPPORT,0.85,0.15,Skarner,170.9,6.4,5.9,5.7,2.8,11.0,0.63,104,Viego,200.6,7.6,4.49,7.8,3.3,7.1,0.54,79,Vi,188.7,6.9,4.51,6.1,3.3,8.8,0.47,72,Wukong,203.1,7.3,4.66,6.6,3.3,8.5,0.56,36,Gragas,188.3,7,4.29,5.9,3.1,7.3,0.56,25,Nocturne,188.3,7.6,5.03,5.9,3.1,9.6,0.63,24,Volibear,174.5,6.4,5.87,4.7,2.5,10.2,0.58,24,Skarner,8.0,6.0,2.0,0.75,Vi,7.0,4.0,3.0,0.57,Ivern,5.0,4.0,1.0,0.8,Vi,18,Viego,17,Skarner,15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
dastindynamite #EUW,euw,20,10,10,0.5,6.4,6.7,6.6,1.94,0.5,Pantheon,0.47,9,10,1.85,Jax,1.0,1,0,4.6,,0.0,0,0,0.0,0.15,0.45,0.15,0.05,0.2,JUNGLE,SUPPORT,0.45,0.2,Pantheon,163.3,6.1,2.79,8.6,6.0,8.2,0.58,402,Gnar,160.6,5.8,0.97,3.3,9.0,5.4,0.14,7,Poppy,136.2,5.5,2.09,2.8,5.8,9.3,0.33,6,Jax,131,5.7,4.6,10.0,5.0,13.0,1.0,1,Kindred,124,4.9,1.29,8.0,7.0,1.0,0.0,1,Jayce,241,7.1,0.58,2.0,12.0,5.0,0.0,1,Sion,183,6.4,0.8,0.0,10.0,8.0,0.0,1,Pantheon,48.0,27.0,21.0,0.56,Gnar,2.0,0.0,2.0,0.0,Jax,1.0,1.0,0.0,1.0,Pantheon,44,Jayce,13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
