player_id,region,total_games,wins,losses,win_rate,avg_kills,avg_deaths,avg_assists,kda_ratio,kill_participation,most_champ_1,WR_1,W_1,L_1,KDA_1,most_champ_2,WR_2,W_2,L_2,KDA_2,most_champ_3,WR_3,W_3,L_3,KDA_3,TOP,JUNGLE,MID,ADC,SUPPORT,most_role_1,most_role_2,most_role_1_value,most_role_2_value,season_champ_1,cs_ssn_1,cpm_ssn_1,kda_ssn_1,k_ssn_1,d_ssn_1,a_ssn_1,wr_ssn_1,games_ssn_1,season_champ_2,cs_ssn_2,cpm_ssn_2,kda_ssn_2,k_ssn_2,d_ssn_2,a_ssn_2,wr_ssn_2,games_ssn_2,season_champ_3,cs_ssn_3,cpm_ssn_3,kda_ssn_3,k_ssn_3,d_ssn_3,a_ssn_3,wr_ssn_3,games_ssn_3,season_champ_4,cs_ssn_4,cpm_ssn_4,kda_ssn_4,k_ssn_4,d_ssn_4,a_ssn_4,wr_ssn_4,games_ssn_4,season_champ_5,cs_ssn_5,cpm_ssn_5,kda_ssn_5,k_ssn_5,d_ssn_5,a_ssn_5,wr_ssn_5,games_ssn_5,season_champ_6,cs_ssn_6,cpm_ssn_6,kda_ssn_6,k_ssn_6,d_ssn_6,a_ssn_6,wr_ssn_6,games_ssn_6,season_champ_7,cs_ssn_7,cpm_ssn_7,kda_ssn_7,k_ssn_7,d_ssn_7,a_ssn_7,wr_ssn_7,games_ssn_7,mastery_champ_1,m_lv_1,mastery_champ_2,m_lv_2,mastery_champ_3,m_lv_3,mastery_champ_4,m_lv_4,mastery_champ_5,m_lv_5,mastery_champ_6,m_lv_6,mastery_champ_7,m_lv_7,mastery_champ_8,m_lv_8,mastery_champ_9,m_lv_9,mastery_champ_10,m_lv_10,mastery_champ_11,m_lv_11,mastery_champ_12,m_lv_12,mastery_champ_13,m_lv_13,mastery_champ_14,m_lv_14,mastery_champ_15,m_lv_15,mastery_champ_16,m_lv_16,7d_champ_1,7d_total_1,7d_W_1,7d_L_1,7d_WR_1,7d_champ_2,7d_total_2,7d_W_2,7d_L_2,7d_WR_2,7d_champ_3,7d_total_3,7d_W_3,7d_L_3,7d_WR_3
NS Carim #KR1,kr,20,15,5,0.75,7.0,3.4,7.4,4.24,0.53,Viego,0.91,10,1,5.54,Skarner,0.4,2,3,4.25,K'Sante,0.5,1,1,0.5,0.1,0.8,0.05,0.0,0.05,JUNGLE,TOP,0.8,0.1,Viego,169.4,7,4.45,6.4,2.8,6.0,0.6,260,Skarner,138.3,5.8,6.15,5.1,2.4,9.7,0.6,52,Graves,177.2,7.4,3.48,5.2,3.1,5.7,0.39,51,K'Sante,168.5,6.9,1.9,2.7,3.2,3.4,0.4,48,Nidalee,174.9,6.9,5.36,5.1,2.4,8.0,0.56,39,Lee Sin,140.8,6.4,3.09,3.5,2.7,4.8,0.25,12,Bel'Veth,190.1,6.9,6.5,4.6,2.4,11.0,1.0,10,Viego,65,Nidalee,30,Zac,30,Lee Sin,29,Hecarim,27,Bel'Veth,21,Xin Zhao,12,Pyke,11,Graves,13,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,
FA JemDDing #0208,kr,20,12,8,0.6,1.3,4.6,12.3,2.96,0.61,Poppy,0.5,2,2,2.2,Alistar,0.5,2,2,1.75,Rakan,0.67,2,1,3.46,0.0,0.0,0.0,0.0,1.0,SUPPORT,MID,1.0,0.0,Alistar,18.7,0.8,2.91,1.0,5.2,14.1,0.63,98,Rakan,26.2,1,2.62,0.8,5.3,13.0,0.43,63,Poppy,22.6,1,2.24,2.5,5.7,10.2,0.6,52,Leona,25.5,1,2.21,1.6,6.4,12.4,0.47,51,Rell,23,0.9,2.5,1.3,6.6,15.2,0.55,44,Blitzcrank,25,0.9,2.86,1.3,5.6,14.8,0.68,37,Bard,24.8,1,3.01,1.5,5.2,14.0,0.57,37,Alistar,46,Rakan,45,Thresh,36,Leona,35,Bard,26,Nautilus,23,Rell,18,Lee Sin,18,Braum,19,Blitzcrank,13,Sett,11,Gragas,11,Poppy,10,Karma,10,,0,,0,,,,,,,,,,,,,,,
LEGENO PANTS #KR0,kr,20,13,6,0.68,7.1,3.3,6.5,4.12,0.57,Corki,0.63,5,3,2.79,Ashe,0.67,2,1,6.38,Jinx,1.0,2,0,33.0,0.0,0.0,0.0,0.0,0.0,MID,JUNGLE,0.0,0.0,Corki,215.7,8.7,3.14,5.7,3.7,5.7,0.59,63,Ashe,202.4,8.1,3.34,4.9,3.9,8.2,0.6,48,Caitlyn,207.1,8.5,3.27,7.3,3.7,4.9,0.55,47,Varus,207.4,8.2,3.05,6.6,4.2,6.3,0.51,37,Jhin,195,8.2,5,7.2,3.0,7.6,0.58,31,Ezreal,199,8.6,2.88,4.4,3.3,5.2,0.53,30,Kai'Sa,214.4,8.5,3.79,8.6,3.9,6.2,0.64,25,Kai'Sa,31,Ezreal,26,Kalista,21,Caitlyn,19,Aphelios,16,Xayah,16,Jhin,15,Lucian,14,Ashe,14,Varus,13,Jinx,13,Miss Fortune,11,Sivir,11,Corki,10,Zeri,10,,0,,,,,,,,,,,,,,,
공포의 매생이 #KR1,kr,20,11,9,0.55,6.4,3.9,5.0,2.92,0.5,Miss Fortune,0.56,10,8,3.14,Ashe,1.0,1,0,3.25,Gwen,0.0,0,1,0.5,0.05,0.0,0.0,0.95,0.0,ADC,TOP,0.95,0.05,Miss Fortune,188.4,7.7,2.88,7.7,4.7,5.9,0.56,236,Lucian,182.9,7.1,2.48,8.8,6.2,6.5,0.65,20,Gragas,158.4,6.3,3.12,5.5,3.9,6.8,0.76,17,Braum,18.3,0.8,3.27,0.7,4.3,13.3,0.57,7,Renekton,226,7,1.9,6.7,6.8,6.3,0.67,6,Gwen,222.5,7.1,1.1,4.0,10.0,7.0,0.5,2,Yuumi,11.5,0.5,2.22,2.5,4.5,7.5,0.0,2,Miss Fortune,26,LeBlanc,25,Lucian,19,Gangplank,14,Vayne,14,Lee Sin,13,Zed,10,Thresh,10,Renekton,10,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,
불청객2 #KR1,kr,20,10,9,0.53,6.2,5.4,7.9,2.61,0.59,Graves,0.67,2,1,2.63,Taliyah,0.33,1,2,2.15,Kindred,0.5,1,1,3.25,0.0,0.0,0.0,0.0,0.0,MID,JUNGLE,0.0,0.0,Kindred,179.7,6.9,2.27,7.3,6.2,6.7,0.48,46,Lee Sin,156.6,6.6,3.21,8.5,4.8,7.0,0.65,31,Skarner,135.4,5.7,3.76,5.8,4.4,10.6,0.57,30,Graves,186.9,8,3.34,8.6,4.5,6.2,0.68,22,Viego,168.3,6.9,3.28,6.9,4.7,8.5,0.46,13,Lillia,177.8,7.6,5.34,7.6,3.5,10.8,0.82,11,Syndra,217.2,8,2.21,5.4,5.6,7.0,0.4,10,Lee Sin,24,Graves,13,Viego,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Graves,3.0,2.0,1.0,0.67,Zyra,1.0,1.0,0.0,1.0,Skarner,1.0,0.0,1.0,0.0
따개비루 #Toye,kr,20,16,4,0.8,4.5,1.9,8.3,6.74,0.54,Skarner,0.89,8,1,9.2,Zyra,0.67,4,2,5.2,Maokai,0.5,1,1,2.86,0.15,0.85,0.0,0.0,0.0,JUNGLE,TOP,0.85,0.15,Skarner,143.9,5.9,3.92,4.5,3.6,9.7,0.65,119,Viego,170.9,6.9,3.08,6.5,4.0,6.0,0.49,108,Zyra,186.5,7.7,3.16,4.3,3.9,8.2,0.52,75,Lee Sin,162.9,6.7,3.62,7.0,3.8,6.9,0.53,36,Volibear,148.4,6.3,3.6,4.8,3.5,7.7,0.67,27,Lillia,191.1,7.7,3.54,4.8,3.4,7.4,0.59,27,Vi,178.7,6.8,3.15,5.3,4.3,8.3,0.46,26,Graves,58,Lee Sin,34,Viego,31,Skarner,20,Volibear,16,Lillia,16,Xin Zhao,14,Renekton,14,Zyra,14,Vi,13,Ornn,12,Wukong,12,Gragas,11,Kindred,11,Maokai,11,Sejuani,10,Skarner,10.0,9.0,1.0,0.9,Zyra,6.0,4.0,2.0,0.67,Maokai,2.0,1.0,1.0,0.5
아이스팀 MID #팔로우,kr,20,12,8,0.6,4.7,4.1,5.4,2.46,0.52,Yone,0.57,4,3,2.27,Qiyana,1.0,6,0,6.55,Yasuo,0.2,1,4,0.9,0.05,0.05,0.65,0.2,0.05,MID,ADC,0.65,0.2,Yasuo,191.4,8.1,2.05,5.0,5.1,5.5,0.52,161,Yone,207.8,8.5,2.05,4.5,4.7,5.1,0.57,155,Qiyana,178.9,7.2,2.64,6.6,4.7,5.7,0.61,113,Smolder,214.2,8.5,1.46,2.8,5.6,5.4,0.42,31,Diana,167.5,7,1.77,4.7,6.8,7.3,0.33,24,Sylas,123.9,5.6,2.31,4.3,5.0,7.3,0.52,23,Karma,30.1,1.1,2.29,2.0,6.5,13.0,0.64,11,Qiyana,70,Yone,36,Yasuo,27,Diana,11,Tristana,11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Yone,6.0,3.0,3.0,0.5,Qiyana,4.0,4.0,0.0,1.0,Yasuo,1.0,0.0,1.0,0.0
승늉승늉 #안뇽해,kr,20,12,8,0.6,3.6,4.0,6.1,2.42,0.43,Dr. Mundo,0.59,10,7,2.21,Braum,0.5,1,1,4.6,K'Sante,1.0,1,0,5.0,0.9,0.0,0.0,0.0,0.1,TOP,SUPPORT,0.9,0.1,Dr. Mundo,188.7,8.2,2.12,3.8,3.8,4.2,0.58,248,K'Sante,166.4,6.8,2.29,3.0,4.1,6.4,0.73,11,Blitzcrank,23.3,1,1.83,1.0,6.0,10.0,0.5,6,Poppy,13,0.7,3.71,1.5,3.5,11.5,0.5,2,Braum,19.5,1.1,4.6,0.0,2.5,11.5,0.5,2,Leona,18,0.8,0.86,1.0,7.0,5.0,0.0,2,Morgana,30,0.9,6,2.0,6.0,34.0,1.0,1,Dr. Mundo,57,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Dr. Mundo,7.0,3.0,4.0,0.43,K'Sante,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0
変わらないもの #1003,kr,20,11,9,0.55,7.3,4.7,7.2,3.09,0.58,Corki,0.71,5,2,2.74,Varus,0.5,2,2,2.13,Viego,0.67,2,1,4.15,0.0,0.3,0.0,0.7,0.0,ADC,JUNGLE,0.7,0.3,Corki,200.9,8.6,3.28,6.9,4.1,6.6,0.71,65,Ezreal,183.3,7.8,2.34,6.2,5.1,5.8,0.36,22,Jinx,165.4,8.2,3.53,7.5,3.5,5.0,0.8,15,Varus,168.2,7.4,2.69,7.6,5.1,6.1,0.4,10,Graves,186.7,7.3,4.1,11.6,4.4,6.6,0.71,7,Viego,153.2,6.5,6.2,7.8,2.5,7.7,0.83,6,Ashe,188.3,8.1,4.61,5.2,3.0,8.7,0.83,6,Ezreal,11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Varus,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
YONG2 #6666,kr,20,8,12,0.4,4.9,4.4,8.8,3.11,0.58,Nunu & Willump,0.2,1,4,2.06,Bel'Veth,0.5,1,1,1.71,Zyra,0.0,0,2,2.5,0.05,0.8,0.0,0.1,0.05,JUNGLE,ADC,0.8,0.1,Skarner,164.7,6.5,4.97,6.1,3.0,9.0,0.62,21,Bel'Veth,170.3,7.6,4.34,7.2,2.9,5.6,0.69,16,Nidalee,209.4,7.8,4.54,7.6,3.5,8.3,0.69,16,Graves,169.3,7.7,3.33,8.4,4.1,5.4,0.5,16,Viego,171,7.3,4.84,9.2,3.3,6.6,0.73,15,Kindred,200.1,7.5,2.7,8.4,5.0,5.1,0.5,14,Nocturne,242,8.2,7.39,10.6,2.9,10.6,0.88,8,Viego,14,Nidalee,14,Kha'Zix,13,Graves,12,Bel'Veth,12,Lee Sin,11,Kindred,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,Nunu & Willump,5.0,1.0,4.0,0.2,Elise,4.0,2.0,2.0,0.5,Nocturne,3.0,2.0,1.0,0.67
