region,username,formatted_username,error
euw,D X D X D X #L AMI,D-X-D-X-D-X--L-AMI,No data found
kr,미 생 #未 生,%EB%AF%B8-%EC%83%9D--%E6%9C%AA-%E7%94%9F,No data found
kr,waitwaitwait #K R 1,waitwaitwait--K-R-1,No data found
kr,해 태 #T 1,%ED%95%B4-%ED%83%9C--T-1,No data found
kr,HLE 크래커 #안 메,HLE-%ED%81%AC%EB%9E%98%EC%BB%A4--%EC%95%88-%EB%A9%94,No data found
kr,HWICHAN #T 1,HWICHAN--T-1,No data found
kr,럭 스 #1 등,%EB%9F%AD-%EC%8A%A4--1-%EB%93%B1,No data found
kr,NoRoo #T 1,NoRoo--T-1,No data found
kr,스컬지 #K T,%EC%8A%A4%EC%BB%AC%EC%A7%80--K-T,No data found
na,Eclipse #NA 1,Eclipse--NA-1,No data found
na,Inconsiderate #I AM,Inconsiderate--I-AM,No data found
vn,Kat Arina #Kat A,Kat-Arina--Kat-A,No data found
