rank,champion,games,KDA,WR,pick,ban,cs,gold
1,Viktor,901,2.38,50.61,28.07,38.64,205.73,11210
2,Viego,870,3.01,51.26,2.71,21.03,176.25,11535
3,Corki,696,2.62,5.23,21.68,13.13,215.97,12027
4,Ezreal,662,2.65,5.06,20.62,7.76,201.09,11345
5,Lee Sin,599,3.25,50.25,18.66,9.22,164.63,11381
6,Yone,576,2.01,49.83,17.95,4.87,216.46,11742
7,Ambessa,576,2.12,47.92,17.95,32.43,185.38,10781
8,Sylas,572,2.46,52.27,17.82,9.24,155.77,10410
9,K'Sante,551,2.52,53.72,17.17,11.92,184.23,10429
10,Graves,536,2.87,51.68,1.67,1.89,200.03,12629
11,Ashe,519,2.61,49.33,16.17,22.73,196.13,11125
12,Aurora,491,2.71,49.29,1.53,2.69,192.73,11107
13,Jhin,489,3.41,51.94,15.23,1.28,199.49,11990
14,Jayce,476,2.06,48.32,14.83,4.02,204.1,11606
15,Irelia,465,1.73,52.04,14.49,12.13,219.4,12248
16,Wukong,440,2.88,49.55,13.71,7.04,174.72,11289
17,Caitlyn,420,2.54,50.24,13.08,14.97,211.61,12158
18,Skarner,403,3.9,55.09,12.56,26.29,146.95,10387
19,Jinx,397,2.53,48.87,12.37,2.25,201.36,11254
20,Yasuo,373,1.75,49.33,11.62,18.79,207.4,11442
21,Nautilus,369,2.45,49.05,1.15,7.77,25.62,7177
22,Pyke,362,2.43,46.13,11.28,46.45,40.77,9313
23,Varus,356,2.41,50.56,11.09,4.61,195.42,11297
24,Renekton,354,2.07,47.46,11.03,9.32,205.8,11566
25,Lulu,350,3.28,51.43,1.09,12.43,33.33,7536
26,Hwei,348,2.7,49.43,10.84,5.99,194.54,11038
27,Gnar,334,1.84,42.81,10.41,5.66,195.57,10912
28,Akali,332,2.51,47.29,10.34,9.27,188.2,11344
29,Jax,329,2.16,54.71,10.25,12.62,188.42,11274
30,Karma,309,3.13,54.37,9.63,0.03,49.2,8040
31,Taliyah,308,2.67,53.57,0.96,2.32,202.97,12085
32,Poppy,307,2.6,51.79,9.56,1.53,68.44,8603
33,Kai'Sa,299,2.83,49.83,9.32,1.01,209.51,12143
34,Rell,298,3.18,47.65,9.28,3.61,24.05,7355
35,Gragas,291,2.34,48.45,9.07,4.73,172.47,10489
36,Maokai,284,2.31,48.94,8.85,2.04,121.46,8809
37,Rakan,283,3.15,42.76,8.82,0.12,27.66,7135
38,Lux,263,3.09,53.23,8.19,2.13,134.76,10039
39,Nidalee,261,3.62,45.21,8.13,9.21,167.74,11443
40,Vi,259,3.12,49.42,8.07,1.19,165.19,10691
41,Galio,253,2.99,53.75,7.88,3.45,167.19,9943
42,Zed,244,2.85,52.46,0.76,13.85,200.75,12491
43,Draven,244,2.11,0.5,0.76,33.43,194.31,12814
44,Bard,243,3.55,54.73,7.57,1.42,26.8,7673
45,Diana,242,2.44,52.07,7.54,1.54,193.26,11793
46,Talon,241,2.9,5.56,7.51,7.13,200.97,12171
47,Syndra,240,2.69,55.42,7.48,4.15,207.51,11620
48,Ahri,239,3.13,47.28,7.45,2.28,202.76,11287
49,Camille,233,2.1,51.07,7.26,2.08,175.24,11354
50,Kindred,230,2.76,53.04,7.17,9.02,179.86,12073
51,Garen,229,2.13,49.78,7.13,3.17,198.39,11445
52,Elise,227,2.88,54.63,7.07,10.34,130.39,10776
53,Ekko,222,2.94,0.5,6.92,2.26,187.43,11549
54,Neeko,216,2.79,52.31,6.73,1.51,69.37,8690
55,Jarvan IV,215,3.75,5.07,0.67,1.69,157.49,10725
56,Leona,212,2.61,0.5,0.66,2.27,26.02,7223
57,Zyra,195,3.25,56.41,6.08,5.94,188.15,11570
58,Zac,194,3.49,54.12,6.04,5.63,146.27,9931
59,Riven,194,2.2,52.58,6.04,7.95,200.18,11649
60,Pantheon,191,2.25,49.74,5.95,1.45,137.39,10465
61,Braum,181,3.01,45.86,5.64,5.59,24.01,7300
62,Kha'Zix,180,3.01,53.89,5.61,3.55,178.27,11886
63,Gwen,180,1.71,48.89,5.61,2.86,191.92,11323
64,Xerath,179,3.9,54.19,5.58,2.03,168.41,10928
65,Aatrox,177,1.88,48.02,5.51,4.55,173.05,10005
66,Nami,177,3.54,44.63,5.51,0.52,23.31,7677
67,Senna,176,3.13,51.14,5.48,0.75,32.25,8513
68,Thresh,173,3.09,48.55,5.39,2.93,27.08,7233
69,LeBlanc,169,2.76,41.42,5.27,22.53,155.69,10200
70,Ziggs,167,2.97,5.15,0.52,0.58,216.44,11790
71,Sona,166,3.12,4.88,5.17,0.94,26.63,7897
72,Janna,161,3.92,57.76,5.02,3.29,24.25,7363
73,Rumble,161,2.23,39.75,5.02,1.74,188.85,10837
74,Blitzcrank,160,2.82,53.75,4.98,8.55,23.05,7107
75,Qiyana,155,2.71,60.65,4.83,3.69,182.51,12019
76,Swain,154,2.82,4.74,0.48,1.58,173.4,10726
77,Kalista,153,2.31,44.44,4.77,2.52,192.25,11745
78,Smolder,152,2.05,43.42,4.74,1.22,216.13,11486
79,Orianna,151,3.05,5.43,0.47,1.02,203.01,10951
80,Seraphine,144,3.08,48.61,4.49,1.89,99.15,8872
81,Tristana,140,2.56,48.57,4.36,0.56,204.07,12436
82,Darius,137,2.05,48.91,4.27,8.69,194.96,11076
83,Nocturne,135,3.07,46.67,4.21,1.89,176.46,11211
84,Volibear,135,1.9,44.44,4.21,1.29,179.1,10609
85,Vladimir,134,2.75,0.5,4.17,5.58,196.81,11043
86,Hecarim,134,2.72,39.55,4.17,4.73,193.32,11338
87,Kayn,132,2.54,50.76,4.11,4.19,179.48,11504
88,Lucian,129,2.45,48.06,4.02,0.33,207.12,11954
89,Azir,129,2.1,47.29,4.02,1.04,206.68,11284
90,Xin Zhao,127,2.73,53.54,3.96,0.03,163.46,10760
91,Zoe,125,2.93,5.12,3.89,4.28,106.21,9636
92,Alistar,125,2.75,0.44,3.89,1.39,22.65,7071
93,Karthus,123,2.35,47.15,3.83,12.25,196.49,12111
94,Aphelios,119,2.36,50.42,3.71,0.58,214.54,12365
95,Dr. Mundo,116,2.42,39.66,3.61,0.81,201.15,11505
96,Kennen,114,2.16,57.89,3.55,3.56,182.82,10721
97,Fiddlesticks,112,2.79,56.25,3.49,5.28,121.09,9791
98,Bel'Veth,109,3.59,5.78,0.34,10.92,178.32,12082
99,Rengar,108,2.61,47.22,3.36,20.63,188.13,11943
100,Ryze,107,2.37,58.88,3.33,0.68,210.24,11242
