rank,champion,games,KDA,WR,pick,ban,cs,gold
1,Viego,760,3.17,52.63,27.68,2.24,178.06,11606
2,Viktor,750,2.41,49.47,27.32,38.61,207.51,11291
3,Corki,593,2.53,52.61,2.16,12.27,213.81,11783
4,Ezreal,559,2.67,50.63,20.36,8.01,200.67,11262
5,Lee Sin,532,3.46,54.14,19.38,10.05,164.78,11453
6,Jhin,507,3.28,53.65,18.47,1.17,200.76,12199
7,Jayce,504,2.05,48.81,18.36,4.39,196.81,11154
8,Yone,485,1.95,48.66,17.67,4.53,214.17,11573
9,Sylas,469,2.4,50.75,17.08,8.61,158.36,10355
10,K'Sante,468,2.52,53.21,17.05,12.67,184.34,10361
11,Ambessa,462,2.14,4.87,16.83,30.54,185,10813
12,Aurora,445,2.66,47.64,16.21,24.95,194.38,11137
13,Irelia,411,1.64,49.88,14.97,12.86,219.41,12287
14,Ashe,406,2.49,47.29,14.79,23.32,193.82,10898
15,Wukong,399,2.9,51.88,14.53,8.29,177.15,11337
16,Graves,394,2.96,52.54,14.35,1.94,199.89,12615
17,Caitlyn,351,2.45,53.28,12.79,14.73,209.86,12096
18,Nautilus,342,2.53,49.42,12.46,7.74,25.32,7240
19,Varus,337,2.49,52.82,12.28,5.16,195.14,11350
20,Skarner,332,3.82,53.92,12.09,26.68,143.07,10124
21,Yasuo,327,1.68,48.32,11.91,1.77,212.88,11655
22,Renekton,313,2.16,48.24,1.14,1.02,203.99,11361
23,Akali,306,2.63,47.71,11.15,9.75,186.42,11203
24,Hwei,306,2.6,46.08,11.15,6.52,192.2,10838
25,Lulu,305,3.37,52.46,11.11,11.83,32.77,7476
26,Gnar,292,1.97,45.55,10.64,6.25,195.43,11034
27,Pyke,273,2.38,47.25,9.94,45.36,40.46,9196
28,Karma,270,3.22,55.93,9.83,3.19,44.89,8080
29,Rakan,270,3.24,4.63,9.83,1.05,27.77,7221
30,Jinx,268,2.28,44.03,9.76,2.18,199.54,11034
31,Kai'Sa,266,2.71,47.37,9.69,0.91,208.07,11989
32,Rell,265,3.24,49.06,9.65,3.18,23.9,7443
33,Jax,264,2.07,56.82,9.62,11.66,183.78,11208
34,Poppy,262,2.46,51.15,9.54,1.52,56.66,8261
35,Taliyah,257,2.69,50.58,9.36,2.23,199.33,11689
36,Bard,254,3.67,53.54,9.25,1.43,26.46,7628
37,Talon,249,2.9,54.62,9.07,7.57,202.84,12227
38,Vi,228,2.97,46.93,0.83,0.11,165.43,10646
39,Galio,222,3.01,55.41,8.09,4.06,161.87,9825
40,Lux,222,3.17,5.36,8.09,1.74,132.95,9845
41,Elise,222,2.77,52.25,8.09,10.29,122.33,10790
42,Camille,218,2.14,54.59,7.94,1.99,169.03,11136
43,Zed,212,2.77,0.5,7.72,13.73,200.28,12429
44,Syndra,211,2.59,53.08,7.69,4.57,208.25,11529
45,Nidalee,210,3.45,0.5,7.65,8.84,170.11,11411
46,Kindred,210,2.57,47.14,7.65,8.86,174.7,11719
47,Maokai,208,2.16,45.19,7.58,0.18,110.61,8332
48,Gragas,205,2.4,49.27,7.47,4.85,169.43,10303
49,Ahri,202,3.17,52.97,7.36,0.22,196.68,11003
50,Draven,199,2.14,48.74,7.25,33.07,200.71,13185
51,Jarvan IV,195,3.69,51.79,0.71,1.72,161.92,10821
